timestamp_local,elapsed_min,distance_miles,speed_mph,pace_min_per_mile,heart_rate_bpm,cadence_spm,elevation_ft,cum_elevation_gain_ft,temperature_f
2026-03-24T17:35:09-07:00,0.0,0.0,3.0064423765823998,19.957142856736052,120,58,355.6430446179999,0.0,
2026-03-24T17:35:10-07:00,0.016666666666666666,0.0007207905829953073,3.0064423765823998,19.957142856736052,120,57,356.2992125970001,0.6561679790002017,
2026-03-24T17:35:15-07:00,0.1,0.006760518571542194,6.135916249230299,9.778490703409863,119,81,356.95538057599987,1.3123359579999487,
2026-03-24T17:35:21-07:00,0.2,0.018075687982184046,6.033017179793699,9.945272524825086,122,82,351.7060367440002,1.3123359579999487,
2026-03-24T17:35:23-07:00,0.23333333333333334,0.0218846933905989,5.9703829636149,10.049606594025198,125,82,347.76902887,1.3123359579999487,
2026-03-24T17:35:26-07:00,0.2833333333333333,0.027346546170365065,5.990515390243799,10.01583271077418,126,82,343.17585301700007,1.3123359579999487,
2026-03-24T17:35:32-07:00,0.38333333333333336,0.03825782430605265,6.095651395972499,9.843082568606699,129,80,337.92650918500004,1.3123359579999487,
2026-03-24T17:35:35-07:00,0.43333333333333335,0.043918515867334765,6.135916249230299,9.778490703409863,132,82,336.6141732270001,1.3123359579999487,
2026-03-24T17:35:36-07:00,0.45,0.04544087528831623,6.1582856121513,9.742971303833365,133,82,337.27034120599984,1.9685039369996957,
2026-03-24T17:35:40-07:00,0.5166666666666667,0.05282276505209576,6.2209198283301,9.644875943708469,136,80,341.8635170590002,6.561679790000028,
2026-03-24T17:35:42-07:00,0.55,0.05620302433786686,6.2410522549589995,9.613763440664249,139,80,343.83202099599987,8.530183726999724,
2026-03-24T17:35:45-07:00,0.6,0.061391473793048594,6.261184681587899,9.582851018025458,142,81,346.4566929120001,11.154855642999962,
2026-03-24T17:35:52-07:00,0.7166666666666667,0.07391831702855324,6.261184681587899,9.582851018025458,144,81,352.36220472299993,17.06036745399979,
2026-03-24T17:35:53-07:00,0.7333333333333333,0.07512999085341604,6.261184681587899,9.582851018025458,144,81,353.0183727020001,17.716535432999933,
2026-03-24T17:36:01-07:00,0.8666666666666667,0.08876908852302554,6.261184681587899,9.582851018025458,145,80,360.23622047099985,24.934383201999708,
2026-03-24T17:36:03-07:00,0.9,0.09247246082876004,6.2410522549589995,9.613763440664249,147,80,360.23622047099985,24.934383201999708,
2026-03-24T17:36:10-07:00,1.0166666666666666,0.1034583035075161,6.1582856121513,9.742971303833365,149,80,351.7060367440002,24.934383201999708,
2026-03-24T17:36:15-07:00,1.1,0.11207672194384792,6.115783822601399,9.810680321672734,149,80,337.27034120599984,24.934383201999708,
2026-03-24T17:36:22-07:00,1.2166666666666666,0.12584630756382725,6.1582856121513,9.742971303833365,149,80,323.4908136470001,24.934383201999708,
2026-03-24T17:36:30-07:00,1.35,0.1393549172830669,6.2410522549589995,9.613763440664249,151,80,320.86614173099986,24.934383201999708,
2026-03-24T17:36:35-07:00,1.4333333333333333,0.14623971009305653,6.2209198283301,9.644875943708469,154,80,322.17847768900015,26.246719159999998,
2026-03-24T17:36:39-07:00,1.5,0.15187554680664916,6.1582856121513,9.742971303833365,156,80,328.08398950000003,32.15223097099988,
2026-03-24T17:36:48-07:00,1.65,0.16555814045971526,5.9077487474360995,10.156152972151933,158,81,345.14435695400016,49.21259842500001,
2026-03-24T17:36:52-07:00,1.7166666666666666,0.17124990058060924,5.8227451683363,10.304417979044661,161,80,350.3937007859999,54.46194225699975,
2026-03-24T17:36:55-07:00,1.7666666666666666,0.1746612284259922,5.739978525528599,10.453000779210155,162,80,351.7060367440002,55.77427821500004,
2026-03-24T17:36:59-07:00,1.8333333333333333,0.17748846735067206,3.6327845383704,16.516256157298802,162,80,352.36220472299993,56.430446193999785,
2026-03-24T17:37:01-07:00,1.8666666666666667,0.1791599558577905,3.5701503221916,16.80601503725141,160,61,353.0183727020001,57.08661417299993,
2026-03-24T17:37:05-07:00,1.9333333333333333,0.18311187664041995,3.0892090193900996,19.42244750141438,157,58,353.0183727020001,57.08661417299993,
2026-03-24T17:37:06-07:00,1.95,0.18436704644873933,2.9639405870324995,20.243320754304346,156,58,353.0183727020001,57.08661417299993,
2026-03-24T17:37:08-07:00,1.9833333333333334,0.18711350711842836,3.1719756621977995,18.915655852928953,155,0,353.0183727020001,57.08661417299993,
2026-03-24T17:37:09-07:00,2.0,0.18857372942018613,3.4851467430918,17.21591784303803,154,0,353.0183727020001,57.08661417299993,
2026-03-24T17:37:12-07:00,2.05,0.1932588682096556,4.2367573372374,14.161774022942584,152,81,353.6745406809999,57.742782151999734,
2026-03-24T17:37:14-07:00,2.0833333333333335,0.19529696572019406,4.675196850488999,12.833684210264718,152,81,354.33070866,58.39895013099988,
2026-03-24T17:37:18-07:00,2.15,0.19934830589358146,5.0510021475618,11.878830823495683,154,81,356.2992125970001,60.36745406799997,
2026-03-24T17:37:21-07:00,2.2,0.20161631074524777,5.1964030065483,11.546448557663906,156,79,360.89238845,64.96062992099985,
2026-03-24T17:37:22-07:00,2.216666666666667,0.20234952875208778,5.1964030065483,11.546448557663906,157,79,363.5170603659999,67.58530183699975,
2026-03-24T17:37:26-07:00,2.283333333333333,0.20526375964368088,5.176270579919399,11.591356957412815,160,80,375.32808398799995,79.3963254589998,
2026-03-24T17:37:29-07:00,2.3333333333333335,0.20711544579654814,5.0308697209329,11.926367274101045,163,77,381.23359579900017,85.30183727000002,
2026-03-24T17:37:31-07:00,2.3666666666666667,0.20846382128370317,4.820597709475499,12.446589326892463,164,76,385.17060367299996,89.23884514399981,
